Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.45
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"17059,1560,-0.06,90"
"17070,1550,-0.02,90"
"17081,1550,-0.03,90"
"17091,1540,0.01,100"
"17101,1530,0.01,100"
"17113,1530,0.03,83"
"17123,1520,-0.00,100"
"17134,1510,0.03,90"
"17144,1510,0.08,100"
"17156,1500,0.06,83"
"17166,1500,-0.01,100"
"17176,1490,-0.00,100"
"17187,1480,0.01,90"
"17198,1480,0.01,90"
"17209,1470,0.02,90"
"17219,1460,0.03,100"
"17229,1460,0.07,100"
"17241,1450,0.03,83"
"17251,1440,0.06,100"
"17262,1440,0.04,90"
"17272,1430,0.02,100"
"17283,1430,0.02,90"
"17294,1420,0.03,90"
"17304,1410,-0.02,100"
"17315,1410,0.01,90"
"17326,1400,0.04,90"
"17337,1390,0.04,90"
"17347,1390,0.05,100"
"17357,1380,-0.01,100"
"17369,1370,0.03,83"
"17379,1370,-0.02,100"
"17390,1360,0.01,90"
"17400,1360,0.04,100"
"17411,1350,0.02,90"
"17422,1340,-0.01,90"
"17432,1340,-0.01,100"
"17443,1330,-0.02,90"
"17454,1320,-0.04,90"
"17464,1320,-0.03,100"
"17475,1310,-0.05,90"
"17485,1300,-0.02,100"
"17497,1300,-0.04,83"
"17507,1290,-0.08,100"
"17518,1280,-0.09,90"
"17528,1280,-0.09,100"
"17539,1270,-0.09,90"
"17550,1270,-0.04,90"
"17560,1260,-0.05,100"
"17571,1250,-0.08,90"
"17582,1250,-0.00,90"
"17593,1240,0.02,90"
"17603,1230,0.01,100"
"17613,1230,-0.02,100"
"17625,1220,-0.00,83"
"17635,1210,-0.02,100"
"17646,1210,0.01,90"
"17656,1200,0.00,100"
"17668,1190,0.03,83"
"17678,1190,0.03,100"
"17688,1180,0.03,100"
"17699,1180,0.02,90"
"17710,1170,-0.00,90"
"17721,1160,-0.01,90"
"17731,1160,-0.02,100"
"17741,1150,-0.04,100"
"17753,1140,-0.01,83"
"17763,1140,0.01,100"
"17774,1130,0.01,90"
"17784,1120,-0.02,100"
"17796,1120,0.02,83"
"17806,1110,-0.01,100"
"17816,1110,-0.04,100"
"17827,1100,-0.03,90"
"17838,1090,-0.00,90"
"17849,1090,-0.04,90"
"17859,1080,-0.02,100"
"17870,1070,-0.07,90"
"17881,1070,-0.04,90"
"17891,1060,-0.07,100"
"17902,1050,-0.10,90"
"17912,1050,0.00,100"
"17924,1040,-0.00,83"
"17934,1030,-0.04,100"
"17945,1030,0.01,90"
"17955,1020,-0.02,100"
"17966,1020,-0.04,90"
"17977,1010,-0.04,90"
"17987,1000,-0.04,100"
"17998,1000,-0.00,90"
"18009,1000,-0.03,90"
"18019,1000,-0.05,100"
"18030,1000,-0.03,90"
"18040,1000,-0.04,100"
"18051,1000,-0.00,90"
