Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.43
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"14073,1000,0.03,100"
"14085,1000,-0.05,83"
"14095,1000,0.02,100"
"14106,1010,0.03,90"
"14116,1010,-0.01,100"
"14127,1010,0.01,90"
"14138,1010,-0.05,90"
"14148,1010,-0.02,100"
"14159,1010,-0.03,90"
"14170,1010,0.02,90"
"14180,1010,-0.02,100"
"14191,1010,-0.03,90"
"14201,1020,0.03,100"
"14213,1020,0.01,83"
"14223,1020,-0.02,100"
"14233,1020,-0.04,100"
"14244,1020,0.00,90"
"14255,1020,-0.04,90"
"14266,1020,-0.05,90"
"14276,1020,-0.03,100"
"14286,1020,-0.03,100"
"14298,1020,0.04,83"
"14308,1030,0.07,100"
"14319,1030,0.05,90"
"14329,1030,0.04,100"
"14341,1030,0.02,83"
"14351,1030,-0.03,100"
"14361,1030,-0.00,100"
"14372,1030,0.01,90"
"14383,1030,-0.01,90"
"14394,1030,-0.01,90"
"14404,1040,0.03,100"
"14414,1040,-0.01,100"
"14426,1040,-0.02,83"
"14436,1040,-0.05,100"
"14447,1040,-0.04,90"
"14457,1040,0.02,100"
"14469,1040,-0.04,83"
"14479,1040,-0.03,100"
"14489,1040,-0.01,100"
"14500,1050,-0.04,90"
"14511,1050,-0.02,90"
"14522,1050,-0.03,90"
"14532,1050,-0.02,100"
"14542,1050,-0.01,100"
"14554,1050,0.01,83"
"14564,1050,-0.00,100"
"14575,1050,-0.02,90"
"14585,1050,0.02,100"
"14597,1050,0.01,83"
"14607,1060,-0.02,100"
"14617,1060,-0.03,100"
"14628,1060,-0.01,90"
"14639,1060,-0.05,90"
"14650,1060,-0.00,90"
"14660,1060,-0.04,100"
"14671,1060,-0.01,90"
"14682,1060,-0.01,90"
"14692,1060,-0.04,100"
"14703,1070,-0.02,90"
"14713,1070,-0.03,100"
"14725,1070,0.01,83"
"14735,1070,0.02,100"
"14745,1070,0.04,100"
"14756,1070,0.05,90"
"14767,1070,0.02,90"
"14778,1070,0.01,90"
"14788,1070,-0.02,100"
"14798,1070,0.02,100"
"14810,1080,-0.01,83"
"14820,1080,0.01,100"
"14831,1080,-0.01,90"
"14841,1080,-0.03,100"
"14853,1080,0.02,83"
"14863,1080,-0.02,100"
"14873,1080,-0.00,100"
"14884,1080,0.01,90"
"14895,1080,-0.03,90"
"14906,1090,0.00,90"
"14916,1090,-0.01,100"
"14926,1090,-0.03,100"
"14938,1090,-0.05,83"
"14948,1090,-0.07,100"
"14959,1090,-0.00,90"
"14969,1090,0.00,100"
"14980,1090,-0.02,90"
"14991,1090,-0.00,90"
"15001,1100,-0.00,100"
"15012,1100,-0.04,90"
"15023,1100,-0.05,90"
"15033,1100,-0.01,100"
"15044,1100,0.01,90"
"15054,1100,0.01,100"
"15066,1100,0.04,83"
"15076,1100,0.01,100"
"15087,1100,-0.05,90"
"15097,1100,-0.06,100"
"15108,1110,0.00,90"
"15119,1110,-0.04,90"
"15129,1110,-0.03,100"
"15140,1110,-0.01,90"
"15151,1110,-0.01,90"
"15161,1110,0.04,100"
"15172,1110,0.04,90"
"15182,1110,0.03,100"
"15194,1110,0.02,83"
"15204,1120,-0.00,100"
"15214,1120,0.02,100"
"15225,1120,-0.01,90"
"15236,1120,0.08,90"
"15247,1120,0.04,90"
"15257,1120,0.05,100"
"15267,1120,0.04,100"
"15279,1120,0.04,83"
"15289,1120,0.01,100"
"15300,1130,0.02,90"
"15310,1130,0.02,100"
"15321,1130,0.03,90"
"15332,1130,0.01,90"
"15342,1130,0.01,100"
"15353,1130,-0.00,90"
"15364,1130,0.01,90"
"15374,1130,0.02,100"
"15385,1130,0.06,90"
"15395,1130,0.05,100"
"15407,1140,0.00,83"
"15417,1140,-0.01,100"
"15428,1140,-0.00,90"
"15438,1140,-0.00,100"
"15449,1140,-0.06,90"
"15460,1140,-0.02,90"
"15470,1140,0.00,100"
"15481,1140,0.01,90"
"15492,1140,0.02,90"
"15502,1150,0.05,100"
"15513,1150,-0.02,90"
"15523,1150,0.01,100"
"15535,1150,0.01,83"
"15545,1150,-0.01,100"
"15555,1150,0.01,100"
"15566,1150,-0.02,90"
"15577,1150,0.01,90"
"15588,1150,0.03,90"
"15598,1150,0.04,100"
"15608,1160,-0.01,100"
"15620,1160,-0.03,83"
"15630,1160,-0.05,100"
"15641,1160,0.05,90"
"15651,1160,0.02,100"
"15662,1160,0.05,90"
"15673,1160,0.06,90"
"15683,1160,-0.03,100"
"15694,1160,0.04,90"
"15705,1170,0.02,90"
"15715,1170,0.02,100"
"15726,1170,0.02,90"
"15736,1170,0.02,100"
"15748,1170,0.01,83"
"15758,1170,0.02,100"
"15769,1170,0.03,90"
"15779,1170,0.03,100"
"15790,1170,-0.00,90"
"15801,1180,-0.02,90"
"15811,1180,0.02,100"
"15822,1180,0.04,90"
"15833,1180,0.05,90"
"15843,1180,0.03,100"
"15854,1180,0.02,90"
"15864,1180,0.03,100"
"15876,1180,0.05,83"
"15886,1180,0.02,100"
"15896,1180,0.02,100"
"15907,1190,0.03,90"
"15918,1190,0.06,90"
"15929,1190,0.03,90"
"15939,1190,-0.04,100"
"15949,1190,-0.02,100"
"15961,1190,-0.02,83"
"15971,1190,-0.02,100"
"15982,1190,0.02,90"
"15992,1190,0.04,100"
"16004,1200,0.04,83"
"16014,1200,-0.03,100"
"16024,1200,-0.01,100"
"16035,1200,-0.00,90"
"16046,1200,-0.01,90"
"16057,1200,0.03,90"
"16067,1200,0.01,100"
"16077,1200,-0.02,100"
"16089,1200,0.04,83"
"16099,1200,0.04,100"
