Starting Setup...
Data Rate : 4
Calculating Current Offset...
Current Offset: 62.45
Begging Data Collection in 2 Seconds...
"Time[ms], Throttle[1000 -> 2000], Current[A], Frequency [Hz]"
"17498,1200,0.45,83"
"17508,1200,0.49,100"
"17519,1200,0.47,90"
"17529,1200,0.46,100"
"17540,1200,0.49,90"
"17551,1200,0.47,90"
"17561,1200,0.40,100"
"17572,1200,0.44,90"
"17583,1200,0.50,90"
"17593,1200,0.57,100"
"17604,1200,0.50,90"
"17614,1200,0.52,100"
"17626,1200,0.52,83"
"17636,1200,0.44,100"
"17646,1200,0.53,100"
"17657,1200,0.50,90"
"17668,1200,0.50,90"
"17679,1200,0.48,90"
"17689,1200,0.44,100"
"17699,1200,0.48,100"
"17711,1200,0.48,83"
"17721,1200,0.45,100"
"17732,1200,0.52,90"
"17742,1200,0.49,100"
"17754,1200,0.50,83"
"17764,1200,0.64,100"
"17774,1200,0.77,100"
"17785,1200,0.54,90"
"17796,1200,0.52,90"
"17807,1200,0.39,90"
"17817,1200,0.39,100"
"17827,1200,0.36,100"
"17839,1200,0.45,83"
"17849,1200,0.49,100"
"17860,1200,0.42,90"
"17870,1200,0.42,100"
"17882,1200,0.39,83"
"17892,1200,0.38,100"
"17902,1200,0.45,100"
"17913,1200,0.40,90"
"17924,1200,0.45,90"
"17935,1200,0.49,90"
"17945,1200,0.66,100"
"17955,1200,0.61,100"
"17967,1200,0.46,83"
"17977,1200,0.40,100"
"17988,1200,0.47,90"
"17998,1200,0.41,100"
"18009,1190,0.43,90"
"18020,1190,0.38,90"
"18030,1190,0.26,100"
"18041,1190,0.36,90"
"18052,1180,0.50,90"
"18063,1180,0.36,90"
"18073,1180,0.26,100"
"18083,1180,0.14,100"
"18095,1180,-0.01,83"
"18105,1170,0.04,100"
"18116,1170,0.07,90"
"18126,1170,0.04,100"
"18138,1170,0.01,83"
"18148,1170,0.05,100"
"18158,1160,0.05,100"
"18169,1160,0.09,90"
"18180,1160,0.02,90"
"18191,1160,-0.01,90"
"18201,1150,-0.04,100"
"18211,1150,-0.01,100"
"18223,1150,-0.09,83"
"18233,1150,-0.09,100"
"18244,1150,-0.01,90"
"18254,1140,-0.03,100"
"18266,1140,0.01,83"
"18276,1140,-0.01,100"
"18287,1140,-0.00,90"
"18297,1140,0.08,100"
"18308,1130,0.07,90"
"18319,1130,0.04,90"
"18329,1130,0.02,100"
"18340,1130,0.04,90"
"18351,1120,0.01,90"
"18361,1120,0.03,100"
"18372,1120,0.04,90"
"18382,1120,0.05,100"
"18394,1120,-0.00,83"
"18404,1110,0.06,100"
"18415,1110,0.09,90"
"18425,1110,0.12,100"
"18436,1110,0.01,90"
"18447,1110,0.02,90"
"18457,1100,0.04,100"
"18468,1100,0.04,90"
"18479,1100,0.07,90"
"18489,1100,0.04,100"
"18500,1100,0.02,90"
"18510,1090,0.02,100"
"18522,1090,0.07,83"
"18532,1090,0.07,100"
"18543,1090,0.03,90"
"18553,1080,0.01,100"
"18564,1080,-0.01,90"
